,cameras,href,daytime,location,region,latitude,longitude,label,confidence,box,time,count
0,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202004190000.gif,202004190000,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/04/19-20:40:53'],Counter()
1,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202004190010.gif,202004190010,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/04/19-20:40:54'],Counter()
2,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202004190020.gif,202004190020,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/04/19-20:40:55'],Counter()
3,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202004190030.gif,202004190030,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/04/19-20:40:55'],Counter()
4,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202004190040.gif,202004190040,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/04/19-20:40:56'],Counter()
5,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202004190050.gif,202004190050,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/04/19-20:40:57'],Counter()
6,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202004190100.gif,202004190100,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/04/19-20:40:57'],Counter()
7,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202004190110.gif,202004190110,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/04/19-20:40:58'],Counter()
8,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202004190120.gif,202004190120,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/04/19-20:40:58'],Counter()
9,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202004190130.gif,202004190130,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/04/19-20:40:59'],Counter()
