,cameras,href,daytime,location,region,latitude,longitude,label,confidence,box,time,count
0,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202004200000.gif,202004200000,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/04/20-09:20:17'],Counter()
1,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202004200010.gif,202004200010,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/04/20-09:20:17'],Counter()
2,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202004200020.gif,202004200020,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/04/20-09:20:18'],Counter()
3,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202004200030.gif,202004200030,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/04/20-09:20:19'],Counter()
4,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202004200040.gif,202004200040,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/04/20-09:20:20'],Counter()
5,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202004200050.gif,202004200050,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/04/20-09:20:20'],Counter()
6,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202004200100.gif,202004200100,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/04/20-09:20:21'],Counter()
7,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202004200110.gif,202004200110,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/04/20-09:20:22'],Counter()
8,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202004200120.gif,202004200120,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/04/20-09:20:23'],Counter()
9,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202004200130.gif,202004200130,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/04/20-09:20:24'],Counter()
